id,room_id,floor,metric_name,value,timestamp,metric_category,floor_id
P227A,227A,2 East,fall_risk,12,2024-01-01,patient,2_east
P227A,227A,2 East,mobility_score,85,2024-01-01,patient,2_east
P227A,227A,2 East,pain_level,3,2024-01-01,patient,2_east
P227A,227A,2 East,satisfaction_score,92,2024-01-01,patient,2_east
P227A,227A,2 East,therapy_completion,88,2024-01-01,patient,2_east
P228A,228A,2 East,fall_risk,14,2024-01-01,patient,2_east
P228A,228A,2 East,mobility_score,78,2024-01-01,patient,2_east
P228A,228A,2 East,pain_level,4,2024-01-01,patient,2_east
P228A,228A,2 East,satisfaction_score,89,2024-01-01,patient,2_east
P228A,228A,2 East,therapy_completion,85,2024-01-01,patient,2_east
P229A,229A,2 East,fall_risk,15,2024-01-01,patient,2_east
P229A,229A,2 East,mobility_score,76,2024-01-01,patient,2_east
P229A,229A,2 East,pain_level,2,2024-01-01,patient,2_east
P229A,229A,2 East,satisfaction_score,91,2024-01-01,patient,2_east
P229A,229A,2 East,therapy_completion,87,2024-01-01,patient,2_east
P230A,230A,2 East,fall_risk,14,2024-01-01,patient,2_east
P230A,230A,2 East,mobility_score,82,2024-01-01,patient,2_east
P230A,230A,2 East,pain_level,3,2024-01-01,patient,2_east
P230A,230A,2 East,satisfaction_score,90,2024-01-01,patient,2_east
P230A,230A,2 East,therapy_completion,86,2024-01-01,patient,2_east
P231A,231A,2 East,fall_risk,16,2024-01-01,patient,2_east
P231A,231A,2 East,mobility_score,75,2024-01-01,patient,2_east
P231A,231A,2 East,pain_level,4,2024-01-01,patient,2_east
P231A,231A,2 East,satisfaction_score,88,2024-01-01,patient,2_east
P231A,231A,2 East,therapy_completion,84,2024-01-01,patient,2_east
P232A,232A,2 East,fall_risk,13,2024-01-01,patient,2_east
P232A,232A,2 East,mobility_score,83,2024-01-01,patient,2_east
P232A,232A,2 East,pain_level,2,2024-01-01,patient,2_east
P232A,232A,2 East,satisfaction_score,92,2024-01-01,patient,2_east
P232A,232A,2 East,therapy_completion,89,2024-01-01,patient,2_east
P301A,301A,3 West,fall_risk,13,2024-01-01,patient,3_west
P301A,301A,3 West,mobility_score,84,2024-01-01,patient,3_west
P301A,301A,3 West,pain_level,3,2024-01-01,patient,3_west
P301A,301A,3 West,satisfaction_score,91,2024-01-01,patient,3_west
P301A,301A,3 West,therapy_completion,88,2024-01-01,patient,3_west
P302A,302A,3 West,fall_risk,15,2024-01-01,patient,3_west
P302A,302A,3 West,mobility_score,77,2024-01-01,patient,3_west
P302A,302A,3 West,pain_level,4,2024-01-01,patient,3_west
P302A,302A,3 West,satisfaction_score,89,2024-01-01,patient,3_west
P302A,302A,3 West,therapy_completion,85,2024-01-01,patient,3_west
P401A,401A,4 West,fall_risk,14,2024-01-01,patient,4_west
P401A,401A,4 West,mobility_score,81,2024-01-01,patient,4_west
P401A,401A,4 West,pain_level,3,2024-01-01,patient,4_west
P401A,401A,4 West,satisfaction_score,90,2024-01-01,patient,4_west
P401A,401A,4 West,therapy_completion,87,2024-01-01,patient,4_west
P402A,402A,4 West,fall_risk,16,2024-01-01,patient,4_west
P402A,402A,4 West,mobility_score,76,2024-01-01,patient,4_west
P402A,402A,4 West,pain_level,4,2024-01-01,patient,4_west
P402A,402A,4 West,satisfaction_score,88,2024-01-01,patient,4_west
P402A,402A,4 West,therapy_completion,84,2024-01-01,patient,4_west
SN001,N2E-1,2 East,patients_assigned,4,2024-01-01,staff,2_east
SN001,N2E-1,2 East,shift_hours,8,2024-01-01,staff,2_east
SN001,N2E-1,2 East,response_time_avg,3,2024-01-01,staff,2_east
SN001,N2E-1,2 East,documentation_completion,95,2024-01-01,staff,2_east
SN002,N2E-1,2 East,patients_assigned,5,2024-01-01,staff,2_east
SN002,N2E-1,2 East,shift_hours,8,2024-01-01,staff,2_east
SN002,N2E-1,2 East,response_time_avg,3,2024-01-01,staff,2_east
SN002,N2E-1,2 East,documentation_completion,93,2024-01-01,staff,2_east
ST001,T2E-1,2 East,patients_per_day,8,2024-01-01,staff,2_east
ST001,T2E-1,2 East,treatment_hours,6,2024-01-01,staff,2_east
ST001,T2E-1,2 East,documentation_completion,92,2024-01-01,staff,2_east
ST001,T2E-1,2 East,patient_satisfaction,91,2024-01-01,staff,2_east
ST002,T2E-2,2 East,patients_per_day,7,2024-01-01,staff,2_east
ST002,T2E-2,2 East,treatment_hours,6,2024-01-01,staff,2_east
ST002,T2E-2,2 East,documentation_completion,94,2024-01-01,staff,2_east
ST002,T2E-2,2 East,patient_satisfaction,92,2024-01-01,staff,2_east
SA001,A1E-1,1 East,task_completion,88,2024-01-01,staff,1_east
SA001,A1E-1,1 East,processing_time,4,2024-01-01,staff,1_east
SA001,A1E-1,1 East,satisfaction_score,90,2024-01-01,staff,1_east
SA002,A1E-1,1 East,task_completion,91,2024-01-01,staff,1_east
