floor,metric_name,value,timestamp
1 East,staff_satisfaction,89,2024-01-01
1 East,space_utilization,82,2024-01-01
1 East,department_efficiency,88,2024-01-01
1 West,therapy_completion_rate,91,2024-01-01
1 West,equipment_utilization,85,2024-01-01
1 West,patient_satisfaction,88,2024-01-01
1 West,fall_risk_average,12,2024-01-01
2 East,patient_satisfaction,87,2024-01-01
2 East,staff_retention,76,2024-01-01
2 East,fall_risk_average,15,2024-01-01
2 East,nurse_response_time_avg,4,2024-01-01
2 West,therapy_completion_rate,89,2024-01-01
2 West,equipment_utilization,83,2024-01-01
2 West,patient_satisfaction,86,2024-01-01
2 West,fall_risk_average,16,2024-01-01
3 East,patient_satisfaction,88,2024-01-01
3 East,staff_retention,78,2024-01-01
3 East,fall_risk_average,14,2024-01-01
3 East,nurse_response_time_avg,3,2024-01-01
3 West,patient_satisfaction,89,2024-01-01
3 West,staff_retention,81,2024-01-01
3 West,fall_risk_average,13,2024-01-01
3 West,nurse_response_time_avg,3,2024-01-01
4 West,patient_satisfaction,86,2024-01-01
4 West,staff_retention,77,2024-01-01
4 West,fall_risk_average,15,2024-01-01
4 West,nurse_response_time_avg,4,2024-01-01
