room_id,floor,metric_name,value,timestamp
A1E-1,1 East,space_utilization,85,2024-01-01
A1E-1,1 East,staff_occupancy,92,2024-01-01
Q1E-1,1 East,space_utilization,78,2024-01-01
Q1E-1,1 East,staff_occupancy,88,2024-01-01
T1E-1,1 East,space_utilization,82,2024-01-01
T1E-1,1 East,staff_occupancy,90,2024-01-01
G1W-1,1 West,equipment_utilization,87,2024-01-01
G1W-1,1 West,occupancy_rate,82,2024-01-01
G1W-2,1 West,equipment_utilization,89,2024-01-01
G1W-2,1 West,occupancy_rate,84,2024-01-01
A1W-1,1 West,processing_efficiency,91,2024-01-01
A1W-1,1 West,staff_occupancy,88,2024-01-01
O1W-1,1 West,space_utilization,84,2024-01-01
O1W-1,1 West,staff_occupancy,87,2024-01-01
227A,2 East,occupancy,100,2024-01-01
227A,2 East,room_temperature,72,2024-01-01
227A,2 East,humidity,45,2024-01-01
228A,2 East,occupancy,100,2024-01-01
228A,2 East,room_temperature,71,2024-01-01
228A,2 East,humidity,44,2024-01-01
229A,2 East,occupancy,100,2024-01-01
229A,2 East,room_temperature,72,2024-01-01
229A,2 East,humidity,45,2024-01-01
230A,2 East,occupancy,100,2024-01-01
230A,2 East,room_temperature,72,2024-01-01
230A,2 East,humidity,44,2024-01-01
231A,2 East,occupancy,100,2024-01-01
231A,2 East,room_temperature,72,2024-01-01
231A,2 East,humidity,45,2024-01-01
232A,2 East,occupancy,100,2024-01-01
232A,2 East,room_temperature,71,2024-01-01
232A,2 East,humidity,44,2024-01-01
232B,2 East,occupancy,100,2024-01-01
232B,2 East,room_temperature,72,2024-01-01
232B,2 East,humidity,45,2024-01-01
233A,2 East,occupancy,100,2024-01-01
233A,2 East,room_temperature,72,2024-01-01
233A,2 East,humidity,44,2024-01-01
233B,2 East,occupancy,100,2024-01-01
233B,2 East,room_temperature,71,2024-01-01
233B,2 East,humidity,45,2024-01-01
234A,2 East,occupancy,100,2024-01-01
234A,2 East,room_temperature,72,2024-01-01
234A,2 East,humidity,44,2024-01-01
234B,2 East,occupancy,100,2024-01-01
234B,2 East,room_temperature,71,2024-01-01
234B,2 East,humidity,45,2024-01-01
235A,2 East,occupancy,100,2024-01-01
235A,2 East,room_temperature,72,2024-01-01
235A,2 East,humidity,44,2024-01-01
N2E-1,2 East,staff_utilization,85,2024-01-01
N2E-1,2 East,equipment_availability,92,2024-01-01
T2E-1,2 East,equipment_utilization,78,2024-01-01
T2E-1,2 East,occupancy_rate,82,2024-01-01
T2E-2,2 East,equipment_utilization,81,2024-01-01
T2E-2,2 East,occupancy_rate,84,2024-01-01
O2E-1,2 East,space_utilization,88,2024-01-01
O2E-1,2 East,staff_occupancy,91,2024-01-01
B2W-1,2 West,space_utilization,82,2024-01-01
B2W-1,2 West,occupancy_rate,78,2024-01-01
T2W-1,2 West,equipment_utilization,85,2024-01-01
T2W-1,2 West,occupancy_rate,83,2024-01-01
T2W-2,2 West,equipment_utilization,84,2024-01-01
T2W-2,2 West,occupancy_rate,81,2024-01-01
O2W-1,2 West,space_utilization,87,2024-01-01
O2W-1,2 West,staff_occupancy,89,2024-01-01
