staff_id,room_id,floor,metric_name,value,timestamp
SN001,N2E-1,2 East,patients_assigned,4,2024-01-01
SN001,N2E-1,2 East,shift_hours,8,2024-01-01
SN001,N2E-1,2 East,response_time_avg,3,2024-01-01
SN001,N2E-1,2 East,documentation_completion,95,2024-01-01
SN002,N2E-1,2 East,patients_assigned,5,2024-01-01
SN002,N2E-1,2 East,shift_hours,8,2024-01-01
SN002,N2E-1,2 East,response_time_avg,3,2024-01-01
SN002,N2E-1,2 East,documentation_completion,93,2024-01-01
ST001,T2E-1,2 East,patients_per_day,8,2024-01-01
ST001,T2E-1,2 East,treatment_hours,6,2024-01-01
ST001,T2E-1,2 East,documentation_completion,92,2024-01-01
ST001,T2E-1,2 East,patient_satisfaction,91,2024-01-01
ST002,T2E-2,2 East,patients_per_day,7,2024-01-01
ST002,T2E-2,2 East,treatment_hours,6,2024-01-01
ST002,T2E-2,2 East,documentation_completion,94,2024-01-01
ST002,T2E-2,2 East,patient_satisfaction,92,2024-01-01
SA001,A1E-1,1 East,task_completion,88,2024-01-01
SA001,A1E-1,1 East,processing_time,4,2024-01-01
SA001,A1E-1,1 East,satisfaction_score,90,2024-01-01
SA002,A1E-1,1 East,task_completion,91,2024-01-01
SA002,A1E-1,1 East,processing_time,3,2024-01-01
SA002,A1E-1,1 East,satisfaction_score,89,2024-01-01
SQ001,Q1E-1,1 East,reviews_completed,45,2024-01-01
SQ001,Q1E-1,1 East,accuracy_rate,97,2024-01-01
SQ001,Q1E-1,1 East,satisfaction_score,88,2024-01-01
ST003,T1E-1,1 East,schedule_compliance,94,2024-01-01
ST003,T1E-1,1 East,patient_engagement,89,2024-01-01
ST003,T1E-1,1 East,documentation_completion,93,2024-01-01
SG001,G1W-1,1 West,patients_per_day,12,2024-01-01
SG001,G1W-1,1 West,equipment_maintenance,96,2024-01-01
SG001,G1W-1,1 West,patient_satisfaction,93,2024-01-01
SG002,G1W-2,1 West,patients_per_day,10,2024-01-01
SG002,G1W-2,1 West,equipment_maintenance,95,2024-01-01
SG002,G1W-2,1 West,patient_satisfaction,92,2024-01-01
SA003,A1W-1,1 West,admission_rate,87,2024-01-01
SA003,A1W-1,1 West,processing_time,3,2024-01-01
SA003,A1W-1,1 West,patient_satisfaction,91,2024-01-01
SN003,N3W-1,3 West,patients_assigned,4,2024-01-01
SN003,N3W-1,3 West,shift_hours,8,2024-01-01
SN003,N3W-1,3 West,response_time_avg,3,2024-01-01
SN003,N3W-1,3 West,documentation_completion,94,2024-01-01
ST004,T3W-1,3 West,patients_per_day,9,2024-01-01
ST004,T3W-1,3 West,treatment_hours,6,2024-01-01
ST004,T3W-1,3 West,documentation_completion,93,2024-01-01
ST004,T3W-1,3 West,patient_satisfaction,90,2024-01-01
SN004,N4W-1,4 West,patients_assigned,5,2024-01-01
SN004,N4W-1,4 West,shift_hours,8,2024-01-01
SN004,N4W-1,4 West,response_time_avg,3,2024-01-01
SN004,N4W-1,4 West,documentation_completion,95,2024-01-01
ST005,T4W-1,4 West,patients_per_day,8,2024-01-01
ST005,T4W-1,4 West,treatment_hours,6,2024-01-01
ST005,T4W-1,4 West,documentation_completion,94,2024-01-01
ST005,T4W-1,4 West,patient_satisfaction,91,2024-01-01
