iter	RMSE
0	0.5945800027
1	0.5894627366
2	0.5849333384
3	0.5804035514
4	0.5759388811
5	0.5715992764
6	0.5674336265
7	0.5633266862
8	0.5593330852
9	0.5556366459
10	0.5519723813
11	0.5483631672
12	0.5447560607
13	0.5414179318
14	0.5379829486
15	0.5346527128
16	0.5314031394
17	0.5282542656
18	0.5253157608
19	0.5225663992
20	0.5200881854
21	0.5174654216
22	0.5146020144
23	0.5120693895
24	0.5095416326
25	0.5069383589
26	0.5045192725
27	0.502349829
28	0.4999987086
29	0.4977393189
30	0.4953911469
31	0.4932623484
32	0.4912389654
33	0.4893434417
34	0.4873521392
35	0.4855702249
36	0.4839140114
37	0.4821955606
38	0.4805464284
39	0.4786624411
40	0.4770187568
41	0.4754037511
42	0.4739862127
43	0.4725936612
44	0.4711522674
45	0.4697596179
46	0.4684375322
47	0.4670128876
48	0.4657267051
49	0.4643973647
50	0.4633202977
51	0.4621332494
52	0.4609847305
53	0.4599744833
54	0.4589987736
55	0.4578387627
56	0.4568923841
57	0.4559375964
58	0.4548636352
59	0.4539536314
60	0.4529631251
61	0.452151057
62	0.4513859082
63	0.4504414092
64	0.4496373863
65	0.4488576761
66	0.4480814766
67	0.4471644384
68	0.4464508677
69	0.4457823472
70	0.4451299372
71	0.4444602502
72	0.4438537595
73	0.4431428695
74	0.4424161914
75	0.4415267983
76	0.440537071
77	0.4395527212
78	0.4387010869
79	0.4378284619
80	0.4369336855
81	0.436190235
82	0.4354572381
83	0.4347473766
84	0.4339032304
85	0.4331813901
86	0.4324788111
87	0.4317634029
88	0.4310942224
89	0.4304241301
90	0.4297970798
91	0.4292812986
92	0.4286692221
93	0.428124911
94	0.4275786535
95	0.4271343739
96	0.4265996941
97	0.4260671941
98	0.4255380956
99	0.4250763912
100	0.424613412
101	0.4241529047
102	0.4236723015
103	0.4233187599
104	0.4229376895
105	0.4225044364
106	0.4221226094
107	0.4217060912
108	0.4212977098
109	0.4209078927
110	0.4204096754
111	0.4201649217
112	0.4199304266
113	0.4195646031
114	0.419167586
115	0.4188439251
116	0.4185962173
117	0.4182219644
118	0.4179534415
119	0.4176733771
120	0.4172734154
121	0.416928467
122	0.4166286483
123	0.4163250022
124	0.4161055372
125	0.415865864
126	0.4155602768
127	0.4152478257
128	0.4150945451
129	0.4149204836
130	0.4146780793
131	0.4145059537
132	0.4142883335
133	0.4141195023
134	0.413965155
135	0.4136938013
136	0.4135025038
137	0.4132674999
138	0.4130379701
139	0.4128403627
140	0.412610073
141	0.4123729236
142	0.4121731845
143	0.4119874113
144	0.411731068
145	0.4115362147
146	0.4111128876
147	0.4108928821
148	0.4106684125
149	0.4104964371
150	0.4103345648
151	0.4100864256
152	0.4099889407
153	0.4098102135
154	0.4096202138
155	0.4094664837
156	0.4093187566
157	0.4091995458
158	0.4089896867
159	0.4088990022
160	0.4088147115
161	0.4086544095
162	0.4085234395
163	0.4084313219
164	0.4082197373
165	0.4080941574
166	0.4080417244
167	0.4078384405
168	0.4077706153
169	0.4077238543
170	0.4075749944
171	0.407510554
172	0.4073316264
173	0.4072115137
174	0.4071781577
175	0.4070226655
176	0.4069802077
177	0.4068390115
178	0.4067666403
179	0.4066980898
180	0.4065697597
181	0.4064957581
182	0.4063836661
183	0.4062965281
184	0.4061479126
185	0.4061252119
186	0.4060170892
187	0.405849478
188	0.4057137923
189	0.4055832075
190	0.405486787
191	0.4053592305
192	0.4052730787
193	0.4050977193
194	0.4049983592
195	0.4048291593
196	0.4047506031
197	0.4047029997
198	0.4046346657
199	0.4044693225
200	0.4042475156
201	0.4041753629
202	0.4040964835
203	0.4040691025
204	0.4040102219
205	0.4039742909
206	0.4038412107
207	0.4037922235
208	0.4037217445
209	0.4037109696
210	0.4036226497
211	0.403603296
212	0.403461193
213	0.4033268176
214	0.4031947971
215	0.4031667756
216	0.4031074347
217	0.4030001561
218	0.402990165
219	0.4028845971
220	0.4028749592
221	0.4027254776
222	0.4026714259
223	0.4025667433
224	0.4024499586
225	0.4024322144
226	0.4023941436
227	0.4022989388
228	0.4021892558
229	0.4020429013
230	0.4019504374
231	0.401873015
232	0.4017782665
233	0.4017653137
234	0.4017314438
235	0.4016858855
236	0.40157864
237	0.4015192805
238	0.4014859784
239	0.4014743687
240	0.4014158473
241	0.4012526062
242	0.4012361634
243	0.401159108
244	0.401151886
245	0.4010381122
246	0.4009629936
247	0.4008537055
248	0.4007896782
249	0.400781474
250	0.4007006556
251	0.4005460275
252	0.4005233756
253	0.4004458624
254	0.4003528999
255	0.400217752
256	0.4001975311
257	0.4001782851
258	0.4001091805
259	0.4001020291
260	0.3999742285
261	0.399960091
262	0.3998117048
263	0.3997408668
264	0.399629944
265	0.3996089472
266	0.3995639927
267	0.399477296
268	0.3994317984
269	0.3992924283
270	0.3992577815
271	0.3991604963
272	0.3990758652
273	0.3990108991
274	0.3989728407
275	0.3988841538
276	0.3988292653
277	0.3986957904
278	0.398656481
279	0.3985777569
280	0.3985568421
281	0.3984772638
282	0.3984286217
283	0.3984178817
284	0.398405547
285	0.398329278
286	0.3981704562
287	0.3979974687
288	0.3978625767
289	0.3978136054
290	0.3977674585
291	0.3976449623
292	0.3976010166
293	0.3973727032
294	0.3973603939
295	0.3972525846
296	0.397115757
297	0.3970917735
298	0.3970475367
299	0.397037489
300	0.3969861622
301	0.3969288673
302	0.3969102922
303	0.3968464536
304	0.3968294108
305	0.3968004297
306	0.3967013636
307	0.3966876181
308	0.3965482025
309	0.3965184212
310	0.3964564456
311	0.3964378657
312	0.3964332423
313	0.3962771977
314	0.3962582168
315	0.3961814443
316	0.3961189095
317	0.3960071033
318	0.3959347842
319	0.3959301074
320	0.3958669196
321	0.3957494127
322	0.3956242663
323	0.3956006662
324	0.3955229885
325	0.3954953818
326	0.3954753118
327	0.3954404431
328	0.3954164638
329	0.3953373987
330	0.3952420919
331	0.3951791662
332	0.3951437904
333	0.3950654836
334	0.3950403803
335	0.3949780825
336	0.3948556543
337	0.3947629115
338	0.3946818939
339	0.3945995765
340	0.3944794381
341	0.3944691362
342	0.3944422889
343	0.39437761
344	0.3943561647
345	0.3943154707
346	0.3942305906
347	0.3940548883
348	0.3940494908
349	0.3939456182
350	0.3939294058
351	0.3939194879
352	0.3938163351
353	0.3937029842
354	0.3935453197
355	0.3934787442
356	0.3934004522
357	0.3933619013
358	0.393328962
359	0.3931814462
360	0.3930770672
361	0.3930273436
362	0.3929708264
363	0.3929094345
364	0.3928413307
365	0.3928209569
366	0.3927726103
367	0.3926895723
368	0.3924828471
369	0.3924178398
370	0.392353943
371	0.3923406134
372	0.3923099102
373	0.3922953088
374	0.3922736108
375	0.3922621737
376	0.3922105464
377	0.3921443017
378	0.3920238721
379	0.3919455632
380	0.391850973
381	0.3917969079
382	0.3917566182
383	0.3917296094
384	0.3916435673
385	0.3916110398
386	0.391509283
387	0.3913815568
388	0.3913097224
389	0.3912954954
390	0.391292305
391	0.3912218034
392	0.3911351385
393	0.3911244498
394	0.3910971327
395	0.3909999565
396	0.390958489
397	0.3908341108
398	0.3906478593
399	0.39056457
400	0.3905288789
401	0.3904982098
402	0.3904512775
403	0.3902529514
404	0.3900872253
405	0.3900566621
406	0.3899596102
407	0.3898571105
408	0.3898326092
409	0.3898094228
410	0.389806834
411	0.3897534267
412	0.3896216662
413	0.3896041285
414	0.3895026085
415	0.3894861917
416	0.3892870896
417	0.3892684827
418	0.3891465553
419	0.3890652037
420	0.3889803184
421	0.3889507648
422	0.3888767342
423	0.3888277263
424	0.3887674258
425	0.3886947916
426	0.388635524
427	0.3885942328
428	0.3884837374
429	0.3884391672
430	0.3883635233
431	0.3883501143
432	0.3883006841
433	0.3882415181
434	0.3882037772
435	0.3881444986
436	0.3880887359
437	0.388046211
438	0.3879846321
439	0.3878845951
440	0.3877461217
441	0.3877042795
442	0.3876137734
443	0.3874825395
444	0.3874147361
445	0.3873440858
446	0.3873091879
447	0.3872131988
448	0.3872021601
449	0.3871324194
450	0.3870437331
451	0.3869641973
452	0.3868649497
453	0.3868147507
454	0.3867384038
455	0.3866595371
456	0.3866528371
457	0.3866367877
458	0.3865461936
459	0.3864645191
460	0.3864151992
461	0.3863943928
462	0.3863719655
463	0.3863180239
464	0.3862615607
465	0.3861947249
466	0.3861827632
467	0.3861734895
468	0.3860961309
469	0.3860581034
470	0.3859438551
471	0.3858323911
472	0.3857570608
473	0.3856731874
474	0.3856647667
475	0.3856308296
476	0.3855131802
477	0.3854022682
478	0.385364977
479	0.3852633545
480	0.385228786
481	0.3851220425
482	0.3851161295
483	0.3850707513
484	0.3850510608
485	0.3850236621
486	0.3849425053
487	0.3849314343
488	0.3848583063
489	0.3847887513
490	0.3846469108
491	0.3846198861
492	0.3845524934
493	0.3844341385
494	0.384418235
495	0.3843743836
496	0.3842811585
497	0.3842397642
498	0.3841912407
499	0.3841172692
500	0.3840474203
501	0.3840393905
502	0.3839039055
503	0.3838446882
504	0.3837919997
505	0.3837243183
506	0.383671043
507	0.3835571366
508	0.3834882272
509	0.383340099
510	0.3833013048
511	0.3832393504
512	0.3832235301
513	0.3831902379
514	0.3831766232
515	0.3831687172
516	0.3831100265
517	0.3830541791
518	0.3830320931
519	0.3829589069
520	0.382921851
521	0.3828563845
522	0.3828077987
523	0.3827587309
524	0.382747004
525	0.382695873
526	0.3826473167
527	0.3826146304
528	0.3825312177
529	0.3824855921
530	0.382400702
531	0.3823076194
532	0.3822396866
533	0.3822276122
534	0.3820752151
535	0.3820159249
536	0.3818978371
537	0.3818302544
538	0.3817347036
539	0.3816091907
540	0.381546517
541	0.3815344623
542	0.3815158937
543	0.3814943934
544	0.3814390509
545	0.3813573791
546	0.3813242412
547	0.3812937253
548	0.3812732722
549	0.3812611439
550	0.3811905649
551	0.3810987792
552	0.3810792775
553	0.3810125114
554	0.3809189414
555	0.3808817821
556	0.3808260968
557	0.3807897551
558	0.3807751831
559	0.3807414469
560	0.3807303098
561	0.3806094859
562	0.3805527521
563	0.3805128464
564	0.3805009692
565	0.380382903
566	0.3803580264
567	0.3802390986
568	0.380157882
569	0.3801015943
570	0.3800609319
571	0.3800367314
572	0.379960497
573	0.3799420013
574	0.3798671956
575	0.3797016671
576	0.3795863459
577	0.3795323793
578	0.3795059597
579	0.3794955526
580	0.3794435884
581	0.3794037923
582	0.379380189
583	0.3793277009
584	0.3792952905
585	0.3791868833
586	0.3791781168
587	0.3791295426
588	0.3790040694
589	0.3789856471
590	0.3789063571
591	0.3788372926
592	0.3788109761
593	0.3788006688
594	0.3787501333
595	0.3787325673
596	0.3786630958
597	0.3786037495
598	0.3785463462
599	0.3785145521
600	0.3784832627
601	0.3784642097
602	0.3784397433
603	0.3783660069
604	0.3783272565
605	0.3782791072
606	0.3782388881
607	0.3782080327
608	0.3781609428
609	0.3781235978
610	0.3780580653
611	0.3780446573
612	0.3780023317
613	0.3779558741
614	0.3779014726
615	0.3778603484
616	0.3777718592
617	0.3775745448
618	0.3775294123
619	0.3775068361
620	0.3774945722
621	0.3774251936
622	0.3773859996
623	0.3773099086
624	0.3772988316
625	0.3772229019
626	0.3771931223
627	0.3770765447
628	0.3770292942
629	0.3770020545
630	0.3769388447
631	0.3769124071
632	0.37689266
633	0.3767804772
634	0.3767340743
635	0.3766511262
636	0.376589137
637	0.3765669578
638	0.3765083099
639	0.3764790005
640	0.3764502757
641	0.3763266885
642	0.3762791643
643	0.3762540307
644	0.3761920099
645	0.376132463
646	0.3760835574
647	0.3760468562
648	0.3759813537
649	0.3759186546
650	0.3758969296
651	0.3758394886
652	0.3758158736
653	0.3757501745
654	0.3756943952
655	0.3756398928
656	0.3755379374
657	0.37550818
658	0.3754550162
659	0.3754337484
660	0.3754112012
661	0.3753180505
662	0.3752959915
663	0.3752441733
664	0.3752226127
665	0.3751777509
666	0.3751593112
667	0.3751153903
668	0.3750542371
669	0.3750443296
670	0.3750208167
671	0.3749855513
672	0.3749428901
673	0.3749010551
674	0.3748890442
675	0.3748770117
676	0.3748569006
677	0.3747399084
678	0.3746851295
679	0.3746756763
680	0.3746173972
681	0.374607842
682	0.3745674265
683	0.3745277905
684	0.3744816064
685	0.3744333069
686	0.3744161395
687	0.3744070426
688	0.3743688101
689	0.3743281016
690	0.3743207961
691	0.374299231
692	0.3742825805
693	0.3742754238
694	0.3742381911
695	0.3741826953
696	0.3741388998
697	0.3741066729
698	0.3740860598
699	0.3740658581
700	0.3740549923
701	0.3740125448
702	0.3739594505
