iter	Passed	Remaining
0	54	81134
1	106	79395
2	168	83843
3	240	90007
4	303	90749
5	360	89887
6	413	88281
7	474	88484
8	532	88259
9	601	89582
10	659	89212
11	726	90037
12	791	90579
13	860	91305
14	919	91058
15	975	90481
16	1032	90104
17	1095	90191
18	1150	89639
19	1209	89505
20	1268	89342
21	1338	89925
22	1401	90010
23	1460	89807
24	1520	89719
25	1578	89514
26	1638	89406
27	1696	89170
28	1754	89004
29	1816	88988
30	1878	88996
31	1936	88839
32	1993	88621
33	2052	88516
34	2114	88523
35	2174	88432
36	2233	88297
37	2304	88644
38	2361	88472
39	2429	88666
40	2499	88959
41	2557	88781
42	2619	88744
43	2681	88720
44	2744	88735
45	2802	88587
46	2861	88454
47	2921	88367
48	2977	88172
49	3041	88215
50	3100	88095
51	3162	88071
52	3222	87986
53	3287	88021
54	3346	87929
55	3408	87887
56	3484	88221
57	3544	88125
58	3600	87945
59	3666	88003
60	3749	88461
61	3812	88429
62	3872	88330
63	3929	88172
64	3993	88153
65	4055	88120
66	4119	88098
67	4175	87934
68	4232	87779
69	4287	87593
70	4348	87520
71	4408	87438
72	4468	87349
73	4531	87316
74	4591	87240
75	4650	87131
76	4711	87076
77	4769	86957
78	4827	86826
79	4886	86730
80	4942	86582
81	5002	86500
82	5066	86492
83	5128	86452
84	5199	86558
85	5264	86561
86	5341	86759
87	5400	86658
88	5456	86512
89	5512	86358
90	5567	86210
91	5619	86000
92	5684	86006
93	5745	85930
94	5795	85717
95	5853	85601
96	5915	85555
97	5968	85392
98	6021	85213
99	6080	85126
100	6136	84999
101	6193	84882
102	6247	84739
103	6304	84620
104	6360	84498
105	6416	84384
106	6470	84238
107	6525	84112
108	6596	84185
109	6655	84106
110	6716	84052
111	6771	83920
112	6830	83834
113	6887	83733
114	6942	83613
115	6996	83470
116	7052	83366
117	7106	83235
118	7167	83176
119	7224	83084
120	7277	82944
121	7334	82847
122	7396	82809
123	7455	82735
124	7522	82748
125	7577	82625
126	7655	82759
127	7717	82720
128	7772	82603
129	7828	82498
130	7884	82398
131	7944	82338
132	8002	82246
133	8067	82239
134	8123	82138
135	8181	82058
136	8237	81952
137	8291	81834
138	8346	81725
139	8405	81649
140	8459	81532
141	8517	81452
142	8571	81336
143	8624	81214
144	8680	81117
145	8737	81032
146	8792	80923
147	8845	80806
148	8905	80750
149	8975	80778
150	9052	80876
151	9117	80860
152	9180	80827
153	9237	80737
154	9295	80657
155	9355	80598
156	9412	80516
157	9469	80432
158	9524	80329
159	9586	80289
160	9648	80246
161	9707	80177
162	9765	80103
163	9821	80008
164	9877	79915
165	9935	79844
166	9990	79746
167	10048	79674
168	10105	79591
169	10167	79547
170	10221	79437
171	10288	79439
172	10349	79389
173	10406	79304
174	10467	79255
175	10525	79179
176	10577	79061
177	10631	78959
178	10688	78882
179	10741	78768
180	10792	78649
181	10849	78566
182	10904	78479
183	10962	78404
184	11016	78306
185	11073	78232
186	11127	78133
187	11184	78051
188	11237	77950
189	11289	77841
190	11344	77745
191	11402	77681
192	11462	77621
193	11518	77542
194	11577	77480
195	11635	77411
196	11694	77348
197	11748	77252
198	11802	77158
199	11858	77082
200	11913	76994
201	11967	76902
202	12022	76814
203	12082	76756
204	12139	76684
205	12196	76613
206	12250	76521
207	12320	76530
208	12380	76473
209	12416	76272
210	12482	76257
211	12530	76127
212	12584	76040
213	12639	75957
214	12695	75877
215	12750	75793
216	12812	75752
217	12867	75669
218	12923	75593
219	12980	75522
220	13013	75312
221	13073	75261
222	13136	75222
223	13192	75152
224	13265	75172
225	13320	75090
226	13379	75029
227	13438	74973
228	13497	74914
229	13554	74842
230	13605	74742
231	13663	74677
232	13719	74605
233	13781	74562
234	13840	74503
235	13896	74429
236	13951	74349
237	14011	74297
238	14068	74226
239	14102	74036
240	14157	73957
241	14217	73909
242	14270	73817
243	14324	73738
244	14360	73563
245	14416	73489
246	14471	73412
247	14528	73346
248	14587	73288
249	14644	73224
250	14701	73158
251	14758	73089
252	14821	73055
253	14884	73017
254	14941	72950
255	14997	72876
256	15057	72828
257	15116	72772
258	15174	72707
259	15231	72643
260	15286	72564
261	15318	72383
262	15383	72354
263	15441	72296
264	15498	72229
265	15555	72165
266	15611	72091
267	15669	72031
268	15724	71959
269	15775	71868
270	15831	71796
271	15886	71722
272	15942	71652
273	15997	71580
274	16055	71518
275	16109	71441
276	16166	71378
277	16222	71307
278	16276	71231
279	16329	71151
280	16386	71087
281	16446	71033
282	16504	70976
283	16560	70906
284	16613	70824
285	16670	70761
286	16725	70690
287	16778	70608
288	16830	70523
289	16884	70447
290	16941	70383
291	16998	70321
292	17059	70277
293	17118	70220
294	17152	70064
295	17208	69997
296	17264	69929
297	17320	69863
298	17376	69796
299	17477	69909
300	17542	69878
301	17598	69813
302	17656	69751
303	17741	69799
304	17828	69853
305	17900	69846
306	17953	69768
307	18009	69700
308	18065	69630
309	18120	69559
310	18177	69494
311	18230	69416
312	18272	69293
313	18326	69222
314	18382	69154
315	18439	69090
316	18509	69075
317	18564	69002
318	18621	68941
319	18680	68884
320	18732	68802
321	18786	68728
322	18840	68655
323	18897	68590
324	18951	68517
325	19008	68453
326	19065	68390
327	19121	68325
328	19180	68269
329	19235	68199
330	19290	68127
331	19345	68060
332	19402	67996
333	19459	67934
334	19521	67886
335	19581	67834
336	19642	67787
337	19702	67734
338	19762	67683
339	19818	67617
340	19877	67560
341	19935	67501
342	19991	67436
343	20046	67364
344	20100	67294
345	20157	67230
346	20213	67163
347	20270	67103
348	20324	67030
349	20383	66972
350	20442	66918
351	20478	66786
352	20534	66721
353	20590	66658
354	20649	66601
355	20708	66547
356	20763	66477
357	20821	66419
358	20875	66349
359	20929	66278
360	20987	66217
361	21043	66152
362	21096	66077
363	21152	66015
364	21208	65950
365	21261	65876
366	21314	65803
367	21387	65789
368	21444	65727
369	21503	65671
370	21558	65606
371	21614	65540
372	21672	65483
373	21726	65413
374	21780	65342
375	21837	65280
376	21891	65211
377	21945	65140
378	21999	65070
379	22055	65006
380	22109	64935
381	22163	64866
382	22217	64795
383	22298	64804
384	22356	64746
385	22412	64683
386	22479	64649
387	22535	64586
388	22589	64515
389	22646	64454
390	22679	64327
391	22735	64262
392	22787	64188
393	22844	64126
394	22903	64073
395	22958	64006
396	23013	63939
397	23072	63884
398	23135	63839
399	23194	63785
400	23259	63745
401	23316	63685
402	23373	63623
403	23431	63565
404	23489	63508
405	23548	63452
406	23600	63380
407	23668	63348
408	23723	63281
409	23778	63216
410	23812	63093
411	23866	63027
412	23923	62964
413	23986	62920
414	24042	62857
415	24104	62810
416	24162	62753
417	24217	62687
418	24270	62616
419	24323	62547
420	24383	62492
421	24435	62421
422	24497	62373
423	24568	62347
424	24630	62301
425	24691	62249
426	24752	62199
427	24807	62134
428	24864	62075
429	24923	62019
430	24980	61959
431	25038	61901
432	25093	61835
433	25148	61769
434	25201	61700
435	25261	61646
436	25314	61577
437	25371	61516
438	25437	61478
439	25495	61421
440	25551	61359
441	25613	61310
442	25671	61251
443	25726	61188
444	25796	61157
445	25865	61126
446	25928	61080
447	25994	61040
448	26062	61005
449	26117	60941
450	26178	60890
451	26256	60878
452	26322	60839
453	26377	60773
454	26432	60707
455	26488	60645
456	26522	60532
457	26580	60472
458	26636	60410
459	26692	60348
460	26748	60284
461	26805	60225
462	26860	60160
463	26913	60092
464	26969	60029
465	27028	59973
466	27086	59914
467	27145	59859
468	27198	59790
469	27257	59734
470	27312	59670
471	27368	59607
472	27423	59543
473	27486	59496
474	27539	59427
475	27595	59364
476	27668	59338
477	27721	59270
478	27793	59242
