iter	Passed	Remaining
0	36	36444
1	72	36370
2	127	42523
3	166	41503
4	206	41170
5	243	40342
6	279	39625
7	315	39106
8	352	38823
9	388	38503
10	427	38404
11	465	38311
12	503	38231
13	540	38072
14	573	37642
15	610	37557
16	648	37473
17	684	37359
18	723	37374
19	763	37397
20	798	37232
21	834	37117
22	872	37070
23	930	37828
24	967	37751
25	1006	37714
26	1044	37651
27	1080	37525
28	1117	37418
29	1156	37403
30	1193	37298
31	1230	37235
32	1267	37154
33	1304	37051
34	1340	36959
35	1377	36887
36	1413	36798
37	1451	36744
38	1491	36756
39	1528	36682
40	1566	36644
41	1605	36619
42	1641	36525
43	1677	36436
44	1714	36390
45	1753	36362
46	1792	36344
47	1829	36281
48	1865	36214
49	1902	36152
50	1940	36117
51	1976	36027
52	2015	36006
53	2051	35945
54	2088	35883
55	2130	35917
56	2172	35934
57	2206	35843
58	2242	35773
59	2278	35694
60	2313	35614
61	2349	35540
62	2383	35450
63	2419	35388
64	2455	35324
65	2492	35276
66	2528	35214
67	2567	35187
68	2605	35156
69	2640	35080
70	2675	35010
71	2712	34959
72	2747	34894
73	2781	34811
74	2819	34779
75	2858	34752
76	2893	34687
77	2928	34613
78	2964	34562
79	3001	34522
80	3038	34470
81	3074	34423
82	3112	34390
83	3147	34327
84	3183	34270
85	3219	34211
86	3253	34140
87	3289	34088
88	3324	34027
89	3364	34019
90	3399	33958
91	3440	33956
92	3481	33957
93	3521	33938
94	3575	34057
95	3614	34040
96	3662	34098
97	3702	34078
98	3740	34045
99	3777	34001
100	3817	33978
101	3852	33916
102	3889	33874
103	3927	33833
104	3962	33778
105	4000	33742
106	4037	33696
107	4073	33643
108	4111	33606
109	4149	33572
110	4187	33539
111	4225	33502
112	4261	33449
113	4297	33398
114	4334	33353
115	4370	33307
116	4408	33270
117	4446	33236
118	4488	33229
119	4530	33224
120	4566	33172
121	4604	33135
122	4642	33103
123	4680	33065
124	4717	33020
125	4754	32978
126	4790	32928
127	4825	32876
128	4861	32822
129	4900	32798
130	4938	32758
131	4976	32722
132	5010	32664
133	5047	32619
134	5084	32576
135	5120	32529
136	5158	32496
137	5195	32453
138	5230	32399
139	5265	32347
140	5304	32318
141	5345	32296
142	5381	32253
143	5418	32210
144	5467	32238
145	5504	32198
146	5540	32147
147	5578	32111
148	5614	32065
149	5651	32024
150	5690	31992
151	5729	31966
152	5767	31930
153	5804	31885
154	5839	31834
155	5875	31789
156	5914	31755
157	5951	31716
158	5988	31673
159	6025	31631
160	6062	31592
161	6099	31553
162	6129	31473
163	6166	31436
164	6203	31392
165	6241	31356
166	6280	31328
167	6316	31279
168	6353	31239
169	6386	31182
170	6423	31140
171	6460	31102
172	6499	31067
173	6522	30964
174	6560	30928
175	6597	30886
176	6632	30838
177	6667	30792
178	6703	30747
179	6742	30716
180	6781	30684
181	6816	30638
182	6853	30598
183	6891	30560
184	6929	30527
185	6975	30527
186	7015	30502
187	7054	30468
188	7091	30429
189	7125	30378
190	7162	30337
191	7199	30296
192	7236	30258
193	7273	30220
194	7311	30182
195	7349	30149
196	7373	30055
197	7406	30000
198	7443	29960
199	7480	29922
200	7516	29879
201	7542	29795
202	7578	29753
203	7615	29714
204	7659	29704
205	7718	29749
206	7774	29783
207	7812	29747
208	7850	29709
209	7887	29670
210	7923	29629
211	7959	29583
212	8070	29817
213	8107	29778
214	8144	29738
215	8203	29774
216	8241	29737
217	8278	29696
218	8309	29632
219	8347	29597
220	8382	29547
221	8421	29513
222	8463	29490
223	8507	29473
224	8551	29454
225	8592	29427
226	8631	29394
227	8672	29364
228	8712	29332
229	8751	29299
230	8791	29265
231	8828	29223
232	8866	29186
233	8902	29142
234	8937	29093
235	8973	29048
236	9011	29011
237	9051	28978
238	9086	28933
239	9123	28890
240	9161	28852
241	9198	28811
242	9240	28785
243	9276	28741
244	9312	28697
245	9346	28646
246	9384	28610
247	9424	28576
248	9460	28533
249	9497	28491
250	9532	28444
251	9569	28403
252	9606	28365
253	9644	28325
254	9681	28285
255	9717	28240
256	9754	28200
257	9790	28155
258	9827	28116
259	9864	28075
260	9900	28031
261	9935	27985
262	9971	27943
263	10009	27904
264	10046	27865
265	10084	27827
266	10121	27786
267	10159	27748
268	10195	27706
269	10232	27666
270	10268	27623
271	10304	27580
272	10342	27540
273	10380	27503
274	10426	27488
275	10466	27455
276	10501	27409
277	10537	27367
278	10574	27325
279	10611	27285
280	10650	27250
281	10687	27210
282	10724	27171
283	10766	27144
284	10801	27099
285	10838	27058
286	10875	27017
287	10911	26976
288	10952	26944
289	10988	26902
290	11026	26865
291	11049	26792
292	11085	26747
293	11122	26708
294	11158	26667
295	11196	26628
296	11234	26592
297	11272	26554
298	11308	26512
299	11344	26470
300	11384	26437
301	11420	26394
302	11457	26356
303	11498	26325
304	11532	26279
305	11565	26230
306	11601	26188
307	11639	26151
308	11677	26112
309	11713	26072
310	11752	26035
311	11791	26002
312	11829	25964
313	11867	25927
314	11905	25889
315	11941	25847
316	11982	25816
317	12034	25810
318	12070	25767
319	12107	25728
320	12144	25688
321	12181	25648
322	12217	25608
323	12253	25566
324	12293	25531
325	12328	25488
326	12366	25452
327	12404	25414
328	12441	25373
329	12463	25304
330	12500	25265
331	12536	25223
332	12572	25183
333	12607	25140
334	12644	25099
335	12679	25056
336	12715	25016
337	12753	24978
338	12788	24936
339	12825	24895
340	12860	24853
341	12895	24810
342	12932	24770
343	12967	24729
344	13004	24689
345	13041	24651
346	13079	24613
347	13115	24572
348	13152	24533
349	13187	24491
350	13224	24451
351	13260	24412
352	13296	24371
353	13334	24333
354	13371	24294
355	13410	24260
356	13448	24221
357	13490	24192
358	13528	24154
359	13567	24120
360	13604	24081
361	13643	24045
362	13681	24008
363	13717	23968
364	13755	23931
365	13793	23893
366	13830	23855
367	13868	23817
368	13915	23795
369	13953	23758
370	13990	23720
371	14027	23680
372	14064	23641
373	14099	23599
374	14136	23561
375	14172	23520
376	14208	23479
377	14244	23439
378	14280	23399
379	14314	23355
380	14352	23317
381	14395	23289
382	14435	23255
383	14463	23202
384	14500	23163
385	14536	23123
386	14572	23082
387	14608	23041
388	14647	23006
389	14681	22963
390	14717	22923
391	14753	22882
392	14790	22844
393	14827	22805
394	14863	22765
395	14903	22731
396	14944	22699
397	14978	22656
398	15015	22617
399	15051	22577
400	15087	22537
401	15121	22493
402	15156	22452
403	15193	22413
404	15226	22370
405	15262	22330
406	15300	22292
407	15346	22267
408	15382	22226
409	15420	22190
410	15455	22149
411	15493	22112
412	15529	22072
413	15563	22030
414	15598	21988
415	15637	21953
416	15672	21911
417	15712	21877
